customer_id,name,email,country,industry,acquisition_channel,plan,support_tier,signup_date,tenure_days,contract_length_months,team_size,monthly_spend_usd,logins_per_month,features_used,support_tickets_last_90d,days_since_last_login,nps_score,churned,churn_date,nps_missing,tenure_months,is_annual_contract,engagement_score
cust-00001,anthony porter,johnsonjimmy@example.net,us,finance,referral,free,email,2022-07-01,915,12,500.0,0.0,2,7,0,0,8.0,0,,0,30.5,1,29.83
cust-00002,michael rush,vgarcia@example.net,us,education,social,basic,email,2024-10-20,73,1,5.0,31.37,10,3,1,4,8.0,0,,0,2.4,0,37.17
cust-00003,jeremy hernandez,rbrown@example.org,india,education,organic,pro,priority,2023-12-05,393,24,10.0,90.39,14,10,0,12,6.0,0,,0,13.1,1,50.33
cust-00004,gregory west,paulgriffin@example.net,us,saas,referral,pro,email,2023-05-25,587,12,500.0,94.78,16,3,2,8,7.0,0,,0,19.6,1,45.17
cust-00005,kimberly white,wjohnson@example.com,us,saas,referral,pro,priority,2021-08-16,1234,1,500.0,107.69,12,14,0,9,7.0,0,,0,41.1,0,55.0
cust-00006,annette rodriguez md,ronaldstokes@example.net,australia,retail,social,pro,,2021-08-16,1234,1,5.0,120.18,4,3,0,19,10.0,0,,0,41.1,0,31.17
cust-00007,george martinez,frank21@example.net,uk,retail,email,pro,priority,2021-03-26,1377,12,10.0,89.58,11,1,2,2,7.0,0,,0,45.9,1,33.83
cust-00008,christina cowan,mrose@example.net,australia,healthcare,organic,pro,priority,2024-06-18,197,12,5.0,100.48,11,1,1,48,7.0,0,,0,6.6,1,33.83
cust-00009,christine hood,william17@example.net,us,finance,referral,free,,2023-05-28,584,12,10.0,0.0,2,19,0,6,7.0,0,,0,19.5,1,45.83
cust-00010,nathan martin,brandonlopez@example.net,germany,saas,organic,basic,email,2023-10-31,428,12,100.0,31.48,3,4,2,35,9.0,0,,0,14.3,1,29.0
cust-00011,james hamilton,scottbrock@example.org,us,saas,paid search,free,,2021-01-31,1431,12,2.0,0.0,12,2,0,5,9.0,0,,0,47.7,1,41.0
cust-00012,justin garza,hjohnson@example.org,us,unknown,organic,enterprise,priority,2024-11-17,45,12,25.0,379.6,5,11,0,11,9.0,0,,0,1.5,1,42.83
cust-00013,stacey howard,emilysmith@example.com,india,unknown,paid search,enterprise,email,2024-04-30,246,12,10.0,418.89,14,12,1,7,9.0,0,,0,8.2,1,59.33
cust-00014,monica morrison,amandamontgomery@example.com,us,saas,paid search,free,email,2021-11-07,1151,24,2.0,0.0,4,13,1,13,6.0,1,2023-06-22,0,38.4,1,38.17
cust-00015,ronald moore,yorkpaul@example.net,germany,finance,referral,pro,,2021-09-23,1196,24,25.0,93.24,4,16,0,2,7.0,0,,0,39.9,1,44.67
cust-00016,tiffany smith,erin15@example.com,uk,retail,paid search,enterprise,,2021-09-25,1194,12,5.0,540.46,3,16,1,6,8.0,0,,0,39.8,1,45.0
cust-00017,ashley garcia,qgardner@example.org,uk,other,referral,free,,2022-03-21,1017,12,1.0,0.0,2,19,3,0,5.0,0,,0,33.9,1,41.83
cust-00018,jacqueline martinez,hburgess@example.com,india,other,paid search,basic,email,2023-02-06,695,1,500.0,29.49,14,9,1,10,7.0,0,,0,23.2,0,50.83
cust-00019,gregory dougherty,smithrebecca@example.com,us,retail,organic,enterprise,email,2022-09-23,831,1,5.0,570.54,8,16,2,39,9.0,0,,0,27.7,0,55.33
cust-00020,carrie graves,knelson@example.net,canada,retail,social,free,priority,2022-03-02,1036,12,5.0,0.0,5,7,1,0,8.0,0,,0,34.5,1,34.83
cust-00021,scott johnson,teresasanders@example.com,brazil,healthcare,organic,pro,priority,2023-06-13,568,12,25.0,119.86,5,13,5,12,10.0,0,,0,18.9,1,47.83
cust-00022,erin bryant,rrodriguez@example.net,france,unknown,paid search,basic,email,2021-07-23,1258,1,100.0,26.97,13,4,0,17,7.0,0,,0,41.9,0,41.67
cust-00023,benjamin stewart,vflores@example.net,brazil,finance,referral,enterprise,dedicated,2022-03-03,1035,12,50.0,343.67,11,13,1,2,5.0,0,,0,34.5,1,47.83
cust-00024,elizabeth howard,wburgess@example.com,us,education,paid search,enterprise,priority,2022-06-19,927,24,5.0,308.21,4,8,1,3,9.0,0,,0,30.9,1,36.67
cust-00025,alyssa hart,robertmoore@example.net,uk,finance,organic,enterprise,dedicated,2022-10-28,796,24,5.0,526.69,11,2,1,2,2.0,0,,0,26.5,1,25.33
