customer_id,name,email,country,industry,acquisition_channel,plan,support_tier,signup_date,tenure_days,contract_length_months,team_size,monthly_spend_usd,logins_per_month,features_used,support_tickets_last_90d,days_since_last_login,nps_score,churned,churn_date
CUST-00001,Anthony Porter,johnsonjimmy@example.net,US,Finance,Referral,Free,Email,2022-07-01,915,12,500.0,0.0,2,7,0,0,8.0,0,
CUST-00002,Michael Rush,vgarcia@example.net,US,Education,Social,Basic,Email,2024-10-20,73,1,5.0,31.37,10,3,1,4,8.0,0,
CUST-00003,Jeremy Hernandez,rbrown@example.org,India,Education,Organic,Pro,Priority,2023-12-05,393,24,10.0,90.39,14,10,0,12,6.0,0,
CUST-00004,Gregory West,paulgriffin@example.net,US,SaaS,Referral,Pro,Email,2023-05-25,587,12,500.0,94.78,16,3,2,8,7.0,0,
CUST-00005,Kimberly White,wjohnson@example.com,US,SaaS,Referral,Pro,Priority,2021-08-16,1234,1,500.0,107.69,12,14,0,9,7.0,0,
CUST-00006,Annette Rodriguez MD,ronaldstokes@example.net,Australia,Retail,Social,Pro,None,2021-08-16,1234,1,5.0,120.18,4,3,0,19,10.0,0,
CUST-00007,George Martinez,frank21@example.net,UK,Retail,Email,Pro,Priority,2021-03-26,1377,12,10.0,89.58,11,1,2,2,7.0,0,
CUST-00008,Christina Cowan,mrose@example.net,Australia,Healthcare,Organic,Pro,Priority,2024-06-18,197,12,,100.48,11,1,1,48,,0,
CUST-00009,Christine Hood,william17@example.net,US,Finance,Referral,Free,None,2023-05-28,584,12,10.0,0.0,2,19,0,6,,0,
CUST-00010,Nathan Martin,brandonlopez@example.net,Germany,SaaS,Organic,Basic,Email,2023-10-31,428,12,100.0,31.48,3,4,2,35,9.0,0,
CUST-00011,James Hamilton,scottbrock@example.org,US,SaaS,Paid Search,Free,None,2021-01-31,1431,12,2.0,0.0,12,2,0,5,9.0,0,
CUST-00012,Justin Garza,hjohnson@example.org,US,,Organic,Enterprise,Priority,2024-11-17,45,12,25.0,379.6,5,11,0,11,9.0,0,
CUST-00013,Stacey Howard,emilysmith@example.com,India,,Paid Search,Enterprise,Email,2024-04-30,246,12,10.0,418.89,14,12,1,7,9.0,0,
CUST-00014,Monica Morrison,amandamontgomery@example.com,US,SaaS,Paid Search,Free,Email,2021-11-07,1151,24,2.0,0.0,4,13,1,13,6.0,1,2023-06-22
CUST-00015,Ronald Moore,yorkpaul@example.net,Germany,Finance,Referral,Pro,None,2021-09-23,1196,24,25.0,93.24,4,16,0,2,,0,
CUST-00016,Tiffany Smith,erin15@example.com,UK,Retail,Paid Search,Enterprise,None,2021-09-25,1194,12,5.0,540.46,3,16,1,6,8.0,0,
CUST-00017,Ashley Garcia,qgardner@example.org,UK,Other,Referral,Free,None,2022-03-21,1017,12,1.0,0.0,2,19,3,0,5.0,0,
CUST-00018,Jacqueline Martinez,hburgess@example.com,India,Other,Paid Search,Basic,Email,2023-02-06,695,1,500.0,29.49,14,9,1,10,,0,
CUST-00019,Gregory Dougherty,smithrebecca@example.com,US,Retail,Organic,Enterprise,Email,2022-09-23,831,1,5.0,570.54,8,16,2,39,9.0,0,
CUST-00020,Carrie Graves,knelson@example.net,Canada,Retail,Social,Free,Priority,2022-03-02,1036,12,5.0,0.0,5,7,1,0,8.0,0,
CUST-00021,Scott Johnson,teresasanders@example.com,Brazil,Healthcare,Organic,Pro,Priority,2023-06-13,568,12,25.0,119.86,5,13,5,12,10.0,0,
CUST-00022,Erin Bryant,rrodriguez@example.net,France,,Paid Search,Basic,Email,2021-07-23,1258,1,100.0,26.97,13,4,0,17,,0,
CUST-00023,Benjamin Stewart,vflores@example.net,Brazil,Finance,Referral,Enterprise,Dedicated,2022-03-03,1035,12,50.0,343.67,11,13,1,2,5.0,0,
CUST-00024,Elizabeth Howard,wburgess@example.com,US,Education,Paid Search,Enterprise,Priority,2022-06-19,927,24,5.0,308.21,4,8,1,3,9.0,0,
CUST-00025,Alyssa Hart,robertmoore@example.net,UK,Finance,Organic,Enterprise,Dedicated,2022-10-28,796,24,5.0,526.69,11,2,1,2,2.0,0,
CUST-00026,Dylan Elliott,emilyestrada@example.org,US,Education,Paid Search,Basic,Email,2024-02-21,315,12,2.0,35.4,8,7,1,4,8.0,0,
CUST-00027,Dana Young,sharonwhite@example.net,Australia,Retail,Email,Pro,Email,2021-10-19,1170,12,5.0,91.22,8,11,0,1,4.0,0,
CUST-00028,Jeffrey Gonzales,samantha44@example.net,Brazil,SaaS,Referral,Pro,None,2023-01-21,711,1,100.0,111.8,13,17,3,5,5.0,0,
CUST-00029,Michael Brown,janet25@example.org,US,Finance,Referral,Basic,Priority,2023-05-15,597,12,,22.65,6,14,0,5,,0,
CUST-00030,Karen Lee,robertgreen@example.org,Canada,Retail,Referral,Pro,None,2021-03-09,1394,24,,106.75,3,13,0,19,5.0,0,
CUST-00031,Hunter Martinez,dawnhardy@example.net,US,Finance,Organic,Free,Email,2023-06-07,574,24,1.0,0.0,5,15,0,19,8.0,0,
CUST-00032,Nicholas Wells,jasminedavis@example.org,France,Retail,Paid Search,Basic,Email,2021-09-06,1213,12,50.0,30.92,7,9,0,19,4.0,1,2023-05-23
CUST-00033,Jennifer Juarez,ywilliamson@example.org,Germany,SaaS,Social,Free,Email,2021-04-05,1367,1,25.0,0.0,6,3,0,10,,1,2024-09-20
CUST-00034,Kenneth Reynolds,xmendoza@example.org,Brazil,Other,Organic,Free,Email,2024-10-17,76,12,5.0,0.0,6,13,5,4,6.0,0,
CUST-00035,Rebecca Douglas,martinezwilliam@example.org,France,,Organic,Free,None,2024-11-10,52,12,10.0,0.0,7,13,0,6,,0,
CUST-00036,Gabriel Cochran,alirussell@example.com,UK,Other,Organic,Pro,Email,2024-03-26,281,24,,97.8,12,9,0,4,5.0,0,
CUST-00037,Lisa Ryan,martinmichelle@example.net,US,Other,Paid Search,Basic,Email,2022-03-21,1017,1,25.0,34.15,9,18,4,10,5.0,1,2023-01-31
CUST-00038,Jennifer Pearson,lloyddonna@example.org,US,Education,Email,Pro,Dedicated,2021-05-23,1319,12,10.0,74.65,4,5,1,33,8.0,0,
CUST-00039,Alexander Stevens,hgomez@example.org,US,Finance,Organic,Free,Priority,2023-09-26,463,1,10.0,0.0,6,11,3,4,2.0,0,
CUST-00040,Robert Spencer,patricia03@example.org,US,Finance,Paid Search,Basic,Dedicated,2022-10-05,819,12,5.0,24.13,10,2,0,7,6.0,0,
CUST-00041,Melissa Moore,robinsonloretta@example.com,India,Education,Organic,Basic,Priority,2021-06-28,1283,12,5.0,32.23,5,17,2,12,10.0,0,
CUST-00042,Angela Buchanan,harperjohn@example.net,France,,Email,Pro,Email,2022-12-24,739,12,2.0,86.46,5,4,0,22,6.0,0,
CUST-00043,Christina Perez,reyesscott@example.com,Germany,Healthcare,Organic,Basic,None,2021-02-20,1411,12,100.0,17.4,8,18,2,3,,1,2022-06-23
CUST-00044,Charles Benjamin,colenathan@example.net,US,Finance,Paid Search,Pro,Priority,2024-08-20,134,12,100.0,79.46,16,8,1,3,8.0,0,
CUST-00045,John Fry,rhernandez@example.net,India,Healthcare,Referral,Pro,Email,2022-01-13,1084,1,25.0,105.78,15,19,0,25,8.0,0,
CUST-00046,Wendy Morgan,melanieyoung@example.net,Canada,Healthcare,Referral,Pro,Email,2023-08-26,494,1,100.0,93.66,8,12,0,1,8.0,0,
CUST-00047,Gary Douglas,laurielove@example.net,US,Retail,Paid Search,Free,Email,2022-04-01,1006,24,10.0,0.0,8,11,3,11,10.0,0,
CUST-00048,Megan Johnson,sanchezjames@example.net,Canada,Finance,Paid Search,Free,Email,2023-01-30,702,1,2.0,0.0,2,16,2,23,1.0,1,2024-05-15
CUST-00049,Sean Lam,michaelmerritt@example.net,Germany,Education,Paid Search,Pro,Email,2023-03-10,663,1,25.0,80.51,2,5,1,30,10.0,0,
CUST-00050,Nina Golden,velasqueztiffany@example.com,US,SaaS,Organic,Free,Email,2021-09-27,1192,1,2.0,0.0,9,3,3,0,10.0,0,
CUST-00051,John Dominguez,denisesmith@example.com,Germany,Other,Organic,Pro,None,2024-11-16,46,1,5.0,105.86,14,12,1,5,9.0,0,
CUST-00052,Carlos Mcdonald,michaelgreene@example.com,Germany,Finance,Paid Search,Basic,Priority,2024-02-06,330,12,2.0,24.11,8,15,2,3,7.0,0,
CUST-00053,Joshua Barron,cynthia20@example.org,US,Education,Organic,Enterprise,None,2024-10-03,90,12,5.0,553.76,6,16,3,10,9.0,0,
CUST-00054,Amanda Nunez,trevinoaustin@example.org,Brazil,Finance,Organic,Pro,None,2024-07-30,155,24,10.0,107.87,8,13,1,12,4.0,0,
CUST-00055,Donna Ford,omiller@example.com,India,,Referral,Enterprise,Email,2023-05-23,589,12,1.0,577.11,6,7,2,100,9.0,0,
CUST-00056,Shannon Smith,nburton@example.org,Canada,SaaS,Email,Basic,Priority,2024-09-07,116,1,1.0,25.75,10,15,1,8,4.0,0,
CUST-00057,Lauren Davis,wilkinsonsteven@example.com,Germany,Education,Referral,Pro,Email,2021-05-10,1332,12,10.0,72.79,2,3,4,9,9.0,0,
CUST-00058,Terry Schwartz,nmoran@example.com,UK,SaaS,Organic,Basic,Email,2021-10-14,1175,12,25.0,28.15,11,12,3,6,8.0,0,
CUST-00059,Haley West,thompsonkyle@example.com,Canada,Other,Organic,Basic,Email,2021-03-08,1395,24,10.0,27.67,9,8,0,1,2.0,0,
CUST-00060,Nicole Herrera,jennifer96@example.org,Germany,Other,Email,Pro,Email,2022-04-20,987,12,1.0,61.4,2,12,0,4,9.0,0,
CUST-00061,Heather Garcia,brian10@example.com,US,Retail,Organic,Pro,Dedicated,2022-07-22,894,1,5.0,103.46,2,18,1,3,7.0,0,
CUST-00062,Phillip Hughes,susanhardy@example.net,Germany,,Organic,Enterprise,Dedicated,2022-02-01,1065,12,25.0,450.42,10,3,2,19,8.0,0,
CUST-00063,David Carrillo,alexander14@example.net,India,Education,Referral,Pro,Email,2024-04-24,252,12,10.0,94.73,10,12,2,9,5.0,0,
CUST-00064,Edward Williams,donaldweiss@example.net,Germany,Retail,Referral,Basic,Email,2022-06-05,941,12,1.0,22.68,5,2,0,4,9.0,0,
CUST-00065,Thomas Andrade,jose39@example.net,US,Education,Referral,Basic,Priority,2022-02-15,1051,1,100.0,31.43,5,14,1,8,7.0,0,
CUST-00066,Keith Davis,michaelvillanueva@example.net,Australia,SaaS,Organic,Pro,None,2023-03-04,669,12,2.0,95.13,4,14,0,2,6.0,0,
CUST-00067,Alexis Watts,coryhunter@example.org,US,SaaS,Organic,Free,Email,2021-07-25,1256,1,2.0,0.0,7,4,3,2,7.0,0,
